section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (10),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-state-default (16),tooltip-row (27),tooltip-row (29),tooltip-row (37),tooltip-row (39),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),tooltip-row (57),tooltip-row (59),ui-pillbox-summary (7),ui-state-default (43),ui-state-default (44),ui-state-default (45),ui-state-default (46),ui-state-default (47),ui-state-default (48),meeting (31),meeting (32),meeting (33),meeting (34),meeting (35),tooltip-row (61),tooltip-row (62),tooltip-row (63),tooltip-row (64),tooltip-row (65),tooltip-row (66),tooltip-row (67),tooltip-row (68),tooltip-row (69),tooltip-row (70),ui-pillbox-summary (8),ui-state-default (50),ui-state-default (51),ui-state-default (52),ui-state-default (53),ui-state-default (54),ui-state-default (55),meeting (36),meeting (37),meeting (38),meeting (39),meeting (40),tooltip-row (71),tooltip-row (72),tooltip-row (73),tooltip-row (74),tooltip-row (75),tooltip-row (76),tooltip-row (77),tooltip-row (78),tooltip-row (79),tooltip-row (80),readonly (11),readonly (12),status-full,status-waitlist
Lab for CHM 1200,Lab,Chemistry - CPS,1201,03,1,40145,Wednesday,M,T,T,F,S,W,08:30 PM - 10:00 PM,Building: EXP,Room: 341,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,,FULL,10,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 24 seats remain.,10 of 10 waitlist seats remain.
Lab for CHM 1200,Lab,Chemistry - CPS,1201,04,1,40519,Wednesday,M,T,T,F,S,W,08:45 PM - 10:15 PM,Building: EXP,Room: 342,Start Date: 02/26/2025,End Date: 04/26/2025,Boston,"21 of 30 seats remain.
5 of 5 waitlist seats remain.",21,5,CPS-Undergraduate Labs,08,45,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Chemistry 1,Lecture,Chemistry - CPS,2110,01,3,40017,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 207,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"2 of 21 seats remain.
5 of 5 waitlist seats remain.",2,5,Lowell Institute School,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Chemistry 1,Lecture,Chemistry - CPS,2110,02,3,40515,Wednesday,M,T,T,F,S,W,05:50 PM - 08:35 PM,Building: EXP,Room: 360,Start Date: 01/06/2025,End Date: 02/25/2025,Boston,"25 of 30 seats remain.
5 of 5 waitlist seats remain.",25,5,Lowell Institute School,05,50,08,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHM 2110,Lab,Chemistry - CPS,2111,01,1,40018,Monday,T,W,T,F,S,M,08:30 PM - 10:00 PM,Building: EXP,Room: 360,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"4 of 21 seats remain.
5 of 5 waitlist seats remain.",4,5,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHM 2110,Lab,Chemistry - CPS,2111,02,1,40516,Wednesday,M,T,T,F,S,W,08:45 PM - 10:15 PM,Building: EXP,Room: 360,Start Date: 01/06/2025,End Date: 02/25/2025,Boston,"25 of 30 seats remain.
5 of 5 waitlist seats remain.",25,5,CPS-Undergraduate Labs,08,45,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Chemistry 2,Lecture,Chemistry - CPS,2200,01,3,40036,Thursday,M,T,W,F,S,T,05:50 PM - 08:20 PM,Building: Snell Library,Room: 002,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"12 of 24 seats remain.
5 of 5 waitlist seats remain.",12,5,Lowell Institute School,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Chemistry 2,Lecture,Chemistry - CPS,2200,02,3,40157,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Richards Hall,Room: 237,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"14 of 24 seats remain.
10 of 10 waitlist seats remain.",14,10,Lowell Institute School,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Chemistry 2,Lecture,Chemistry - CPS,2200,03,3,40517,Wednesday,M,T,T,F,S,W,05:50 PM - 08:30 PM,Building: EXP,Room: 360,Start Date: 02/26/2025,End Date: 04/26/2025,Boston,"23 of 30 seats remain.
5 of 5 waitlist seats remain.",23,5,Lowell Institute School,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHM 2200,Lab,Chemistry - CPS,2201,01,1,40037,Thursday,M,T,W,F,S,T,08:30 PM - 10:00 PM,Building: EXP,Room: 360,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"13 of 24 seats remain.
5 of 5 waitlist seats remain.",13,5,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHM 2200,Lab,Chemistry - CPS,2201,02,1,40158,Tuesday,M,W,T,F,S,T,08:30 PM - 10:00 PM,Building: EXP,Room: 360,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"13 of 24 seats remain.
10 of 10 waitlist seats remain.",13,10,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHM 2200,Lab,Chemistry - CPS,2201,03,1,40518,Wednesday,M,T,T,F,S,W,08:35 PM - 10:05 PM,Building: EXP,Room: 360,Start Date: 02/26/2025,End Date: 04/26/2025,Boston,"23 of 30 seats remain.
5 of 5 waitlist seats remain.",23,5,CPS-Undergraduate Labs,08,35,10,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analytical Chemistry,Lecture,Chemistry - CPS,2300,01,3,40201,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Kariotis Hall,Room: 005,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"7 of 20 seats remain.
5 of 5 waitlist seats remain.",7,5,NUpath Writing Intensive,05,50,08,20,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHM 2300,Lab,Chemistry - CPS,2301,01,1,40202,Tuesday,M,W,T,F,S,T,08:30 PM - 10:00 PM,Building: EXP,Room: 460,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"11 of 24 seats remain.
5 of 5 waitlist seats remain.",11,5,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organizational Communication,Lecture,Communicatn Studies - CPS,1100,01,3,40019,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"1 of 30 seats remain.
10 of 10 waitlist seats remain.",1,10,NUpath Difference/Diversity,,,,,NUpath Interpreting Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPS-Programs-UG,,,
Organizational Communication,Lecture,Communicatn Studies - CPS,1100,04,3,40228,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: Behrakis Health Sciences Cntr,Room: 204,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,1 of 30 seats remain.,1,,NUpath Difference/Diversity,05,50,08,20,NUpath Interpreting Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPS-Programs-UG,,,
Organizational Communication,Lecture,Communicatn Studies - CPS,1100,05,3,40251,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/26/2025,End Date: 04/26/2025,Online,"5 of 30 seats remain.
5 of 5 waitlist seats remain.",5,5,NUpath Difference/Diversity,,,,,NUpath Interpreting Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPS-Programs-UG,,,
Professional Speaking,Lecture,Communicatn Studies - CPS,2310,01,3,40107,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,24 of 30 seats remain.,24,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negotiation,Lecture,Communicatn Studies - CPS,3100,01,3,40219,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,23 of 30 seats remain.,23,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Public Relations,Lecture,Communicatn Studies - CPS,3220,01,3,40146,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"17 of 30 seats remain.
5 of 5 waitlist seats remain.",17,5,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercultural Communication,Lecture,Communicatn Studies - CPS,3350,02,3,40271,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,16 of 30 seats remain.,16,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crisis Communication,Lecture,Communicatn Studies - CPS,3360,01,3,40020,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/26/2025,End Date: 04/26/2025,Online,"20 of 30 seats remain.
10 of 10 waitlist seats remain.",20,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crisis Communication,Lecture,Communicatn Studies - CPS,3360,02,3,40420,Wednesday,M,T,T,F,S,W,05:50 PM - 08:20 PM,Building: Mugar Life Science Building,Room: 201,Start Date: 01/06/2025,End Date: 02/25/2025,Boston,19 of 25 seats remain.,19,,CPS-Programs-UG,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Communication Strategy,Lecture,Communicatn Studies - CPS,3410,01,3,40483,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: Snell Library,Room: 002,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"22 of 25 seats remain.
5 of 5 waitlist seats remain.",22,5,CPS-Programs-UG,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Communication Strategy,Lecture,Communicatn Studies - CPS,3410,03,3,40484,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"22 of 30 seats remain.
5 of 5 waitlist seats remain.",22,5,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designing and Implementing a Promotional Campaign,Lecture,Communicatn Studies - CPS,3800,01,3,40329,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"8 of 25 seats remain.
5 of 5 waitlist seats remain.",8,5,Low Enrollment,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XN Experiential Project,,,
Managing Communication Projects,Lecture,Communicatn Studies - CPS,3850,01,3,40373,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,21 of 30 seats remain.,21,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capstone in Professional Communication,Seminar,Communicatn Studies - CPS,4850,01,3,40250,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"12 of 20 seats remain.
5 of 5 waitlist seats remain.",12,5,Low Enrollment,,,,,NUpath Capstone Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUpath Integration Experience,NUpath Writing Intensive,,
Essentials of Computer Organization,Lecture,Computer Engineerng Tech - CPS,2100,01,3,40311,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Structures and Algorithms,Lecture,Computer Engineerng Tech - CPS,2200,01,3,40374,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"12 of 30 seats remain.
10 of 10 waitlist seats remain.",12,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Systems,Lecture,Computer Science,5600,01,4,40557,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,,GSCS Computer & Info Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 1 seats remain.,
Experiential Integration Seminar,Seminar,Coop/Experiential Education,5945,01,0,40520,Monday,T,W,T,F,S,M,06:00 PM - 07:00 PM,Building: Churchill Hall,Room: 103,Start Date: 02/10/2025,End Date: 02/10/2025,Boston,10 of 10 seats remain.,10,,COOP Course,06,00,07,00,,Monday,S,M,T,W,T,F,06:00 PM - 07:00 PM,06,00,07,00,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 103,Room:,Start Date: 02/24/2025,Start Date:,End Date: 02/24/2025,End Date:,M,Start Date: 03/10/2025,End Date: 03/10/2025,Start Date: 03/24/2025,End Date: 03/24/2025,Monday,S,M,T,W,T,F,06:00 PM - 07:00 PM,06,00,07,00,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 103,Room:,Start Date: 04/07/2025,Start Date:,End Date: 04/07/2025,End Date:,Start Date: 01/27/2025,End Date: 01/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Microeconomics,Lecture,Economics - CPS,1100,02,3,40021,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/25/2025,Online,"11 of 30 seats remain.
10 of 10 waitlist seats remain.",11,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Macroeconomics,Lecture,Economics - CPS,1200,02,3,40022,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/26/2025,End Date: 04/26/2025,Online,"1 of 30 seats remain.
10 of 10 waitlist seats remain.",1,10,NUpath Societies/Institutions,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Macroeconomics,Lecture,Economics - CPS,1200,04,3,40253,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/26/2025,End Date: 04/26/2025,Online,"14 of 30 seats remain.
10 of 10 waitlist seats remain.",14,10,NUpath Societies/Institutions,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Macroeconomics,Lecture,Economics - CPS,1200,05,3,40089,Wednesday,M,T,T,F,S,W,02:50 PM - 05:20 PM,Building: Kariotis Hall,Room: 208,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"2 of 13 seats remain.
10 of 10 waitlist seats remain.",2,10,NUpath Societies/Institutions,02,50,05,20,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circuits AC/DC,Lecture,Electrical Engineer Tech - CPS,2005,01,3,40273,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"6 of 15 seats remain.
10 of 10 waitlist seats remain.",6,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for EET 2005,Lab,Electrical Engineer Tech - CPS,2006,01,2,40274,Wednesday,M,T,T,F,S,W,06:00 PM - 08:00 PM,Building: 89 Broad Street,Room: 216,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"10 of 15 seats remain.
10 of 10 waitlist seats remain.",10,10,Low Enrollment,06,00,08,00,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics 2,Lecture,Electrical Engineer Tech - CPS,3200,01,3,40385,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"10 of 15 seats remain.
10 of 10 waitlist seats remain.",10,10,Low Enrollment,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for EET 3200,Lab,Electrical Engineer Tech - CPS,3201,01,2,40386,Thursday,M,T,W,F,S,T,06:00 PM - 08:00 PM,Building: 89 Broad Street,Room: 216,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"10 of 15 seats remain.
10 of 10 waitlist seats remain.",10,10,Low Enrollment,06,00,08,00,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Writing 1,Lecture,English - CPS,1105,01,3,40023,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 297,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,,FULL,10,NU Core/NUpath 1st Yr Writing,05,50,08,20,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 20 seats remain.,10 of 10 waitlist seats remain.
College Writing 1,Lecture,English - CPS,1105,02,3,40024,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"1 of 20 seats remain.
10 of 10 waitlist seats remain.",1,10,NU Core/NUpath 1st Yr Writing,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Writing 1,Lecture,English - CPS,1105,03,3,40025,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"10 of 20 seats remain.
10 of 10 waitlist seats remain.",10,10,NU Core/NUpath 1st Yr Writing,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ENG 1105,Lab,English - CPS,1106,01,1,40026,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,10,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 20 seats remain.,10 of 10 waitlist seats remain.
Lab for ENG 1105,Lab,English - CPS,1106,02,1,40027,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"1 of 20 seats remain.
10 of 10 waitlist seats remain.",1,10,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ENG 1105,Lab,English - CPS,1106,03,1,40028,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"10 of 20 seats remain.
10 of 10 waitlist seats remain.",10,10,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Writing 2,Lecture,English - CPS,1107,01,3,40029,Thursday,M,T,W,F,S,T,05:50 PM - 07:10 PM,Building: Snell Library,Room: 011,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"10 of 20 seats remain.
10 of 10 waitlist seats remain.",10,10,NU Core/NUpath 1st Yr Writing,05,50,07,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Writing 2,Lecture,English - CPS,1107,02,3,40030,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"1 of 20 seats remain.
10 of 10 waitlist seats remain.",1,10,NU Core/NUpath 1st Yr Writing,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Writing 2,Lecture,English - CPS,1107,04,3,40180,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"5 of 20 seats remain.
10 of 10 waitlist seats remain.",5,10,NU Core/NUpath 1st Yr Writing,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Writing 2,Lecture,English - CPS,1107,05,3,40308,Wednesday,M,T,T,F,S,W,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 297,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"7 of 24 seats remain.
10 of 10 waitlist seats remain.",7,10,NU Core/NUpath 1st Yr Writing,05,50,08,20,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
