section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (10),readonly (11),readonly (12),status-full,status-waitlist
Encryption Concepts,Lecture,Information Tech - CPS,4660,01,3,20304,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,Lowell Institute School,,,,,,,,,
Software Engineering and Security,Lecture,Information Tech - CPS,4690,01,3,20305,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,Lowell Institute School,,,,,,,,,
Information Technology Project,Lecture,Information Tech - CPS,4850,01,3,20184,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,NUpath Capstone Experience,,,,,NUpath Writing Intensive,Lowell Institute School,XN Experiential Project,,
Information Technology Project,Lecture,Information Tech - CPS,4850,02,3,20306,Monday,S,T,W,T,F,M,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 228,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,NUpath Capstone Experience,05,50,08,20,NUpath Writing Intensive,Lowell Institute School,XN Experiential Project,,
Experiential Project Preparation,Seminar,Interdiscpln Studies - CPS,2000,01,1,20150,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"7 of 30 seats remain.
10 of 10 waitlist seats remain.",7,10,CPS-Programs-UG,,,,,,,,,
Assessing Your Leadership Capacity,Lecture,Leadership Studies - CPS,1200,01,3,20122,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"19 of 30 seats remain.
5 of 5 waitlist seats remain.",19,5,CPS-Programs-UG,,,,,,,,,
Leading Teams Locally and Virtually,Lecture,Leadership Studies - CPS,3250,01,3,20133,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"27 of 30 seats remain.
5 of 5 waitlist seats remain.",27,5,Low Enrollment,,,,,CPS-Programs-UG,,,,
Evidence-Based Leadership and Decision Making,Lecture,Leadership Studies - CPS,3400,01,3,20080,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"16 of 25 seats remain.
5 of 5 waitlist seats remain.",16,5,Low Enrollment,,,,,NUpath Writing Intensive,CPS-Programs-UG,,,
Strategic Decision Making (Capstone),Lecture,Leadership Studies - CPS,4850,01,3,20134,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"30 of 30 seats remain.
5 of 5 waitlist seats remain.",30,5,NUpath Capstone Experience,,,,,NUpath Integration Experience,NUpath Writing Intensive,CPS-Programs-UG,,
Introduction to Business,Lecture,Management - CPS,1100,02,3,20255,Thursday,S,M,T,W,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 225,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"24 of 30 seats remain.
5 of 5 waitlist seats remain.",24,5,CPS-Programs-UG,05,50,08,20,,,,,
Introduction to Business,Lecture,Management - CPS,1100,03,3,20092,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,,FULL,4,CPS-Programs-UG,,,,,,,,FULL: 0 of 30 seats remain.,4 of 5 waitlist seats remain.
Principles of Management,Lecture,Management - CPS,2100,01,3,20035,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"23 of 30 seats remain.
5 of 5 waitlist seats remain.",23,5,CPS-Programs-UG,,,,,,,,,
Information within the Enterprise,Lecture,Management - CPS,2210,10,3,20120,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"12 of 30 seats remain.
5 of 5 waitlist seats remain.",12,5,CPS-Programs-UG,,,,,,,,,
Information within the Enterprise,Lecture,Management - CPS,2210,12,3,20070,Thursday,S,M,T,W,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 211,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"28 of 30 seats remain.
5 of 5 waitlist seats remain.",28,5,Low Enrollment,05,50,08,20,CPS-Programs-UG,,,,
Supply Chain Management,Lecture,Management - CPS,2220,02,3,20104,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"15 of 30 seats remain.
5 of 5 waitlist seats remain.",15,5,CPS-Programs-UG,,,,,,,,,
Organizational Behavior,Lecture,Management - CPS,2310,02,3,20085,Tuesday,S,M,W,T,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 435,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"19 of 30 seats remain.
5 of 5 waitlist seats remain.",19,5,Low Enrollment,05,50,08,20,NUpath Difference/Diversity,CPS-Programs-UG,,,
Organizational Behavior,Lecture,Management - CPS,2310,03,3,20106,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"1 of 30 seats remain.
2 of 5 waitlist seats remain.
Open Seats Reserved for Waitlisted Only.",1,2,NUpath Difference/Diversity,,,,,CPS-Programs-UG,,,,
Business Law,Lecture,Management - CPS,2330,01,3,20087,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"9 of 30 seats remain.
5 of 5 waitlist seats remain.",9,5,CPS-Programs-UG,,,,,,,,,
Business Law,Lecture,Management - CPS,2330,02,3,20256,Wednesday,S,M,T,T,F,W,S,03:20 PM - 05:50 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 226,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"23 of 30 seats remain.
5 of 5 waitlist seats remain.",23,5,CPS-Programs-UG,03,20,05,50,,,,,
International Business,Lecture,Management - CPS,3220,01,3,20036,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"17 of 30 seats remain.
5 of 5 waitlist seats remain.",17,5,NUpath Societies/Institutions,,,,,CPS-Programs-UG,XN Experiential Project,,,
Project Management,Lecture,Management - CPS,4210,01,3,20037,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"15 of 25 seats remain.
5 of 5 waitlist seats remain.",15,5,CPS-Programs-UG,,,,,,,,,
Project Management,Lecture,Management - CPS,4210,02,3,20253,Wednesday,S,M,T,T,F,W,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Hurtig Hall,Building:,Room: 308,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,CPS-Programs-UG,05,50,08,20,,,,,
Innovation and Change Management,Lecture,Management - CPS,4220,01,3,20038,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"20 of 30 seats remain.
5 of 5 waitlist seats remain.",20,5,CPS-Programs-UG,,,,,,,,,
New Venture Creation,Lecture,Management - CPS,4230,01,3,20089,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"24 of 30 seats remain.
5 of 5 waitlist seats remain.",24,5,NUpath Creative Express/Innov,,,,,NUpath Writing Intensive,CPS-Programs-UG,,,
New Venture Creation,Lecture,Management - CPS,4230,02,3,20254,Tuesday,S,M,W,T,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 155,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,28 of 30 seats remain.,28,,NUpath Creative Express/Innov,05,50,08,20,NUpath Writing Intensive,CPS-Programs-UG,,,
Business Strategy,Lecture,Management - CPS,4850,01,4,20039,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"20 of 30 seats remain.
5 of 5 waitlist seats remain.",20,5,NUpath Capstone Experience,,,,,NUpath Writing Intensive,CPS-Programs-UG,,,
Business Strategy,Lecture,Management - CPS,4850,02,4,20141,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,NUpath Capstone Experience,,,,,NUpath Writing Intensive,CPS-Programs-UG,,,
Business Strategy,Lecture,Management - CPS,4850,03,4,20116,Wednesday,S,M,T,T,F,W,S,05:50 PM - 09:10 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 009,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"13 of 20 seats remain.
5 of 5 waitlist seats remain.",13,5,NUpath Capstone Experience,05,50,09,10,NUpath Writing Intensive,CPS-Programs-UG,,,
Principles of Marketing,Lecture,Marketing - CPS,2100,01,3,20040,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"7 of 30 seats remain.
5 of 5 waitlist seats remain.",7,5,CPS-Programs-UG,,,,,,,,,
Consumer Behavior,Lecture,Marketing - CPS,2220,01,3,20041,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"20 of 30 seats remain.
5 of 5 waitlist seats remain.",20,5,CPS-Programs-UG,,,,,,,,,
College Algebra,Lecture,Mathematics - CPS,1100,02,3,20042,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,,FULL,5,NUpath Formal/Quant Reasoning,,,,,Lowell Institute School,,,FULL: 0 of 30 seats remain.,5 of 5 waitlist seats remain.
College Algebra,Lecture,Mathematics - CPS,1100,04,3,20075,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"17 of 30 seats remain.
10 of 10 waitlist seats remain.",17,10,NUpath Formal/Quant Reasoning,,,,,Lowell Institute School,,,,
Calculus 1,Lecture,Mathematics - CPS,2100,01,3,20043,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"17 of 30 seats remain.
5 of 5 waitlist seats remain.",17,5,NUpath Formal/Quant Reasoning,,,,,Lowell Institute School,,,,
Technical Math 1,Lecture,Mathematics - CPS,2120,01,3,20207,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,Lowell Institute School,,,,,,,,,
Technical Math 2,Lecture,Mathematics - CPS,2220,01,3,20223,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"30 of 30 seats remain.
10 of 10 waitlist seats remain.",30,10,Lowell Institute School,,,,,,,,,
Business Statistics,Lecture,Mathematics - CPS,2300,01,3,20123,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"25 of 30 seats remain.
5 of 5 waitlist seats remain.",25,5,NUpath Analyzing/Using Data,,,,,Lowell Institute School,,,,
Statistics for the Behavioral and Social Sciences,Lecture,Mathematics - CPS,2310,01,3,20077,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"12 of 30 seats remain.
10 of 10 waitlist seats remain.",12,10,NUpath Analyzing/Using Data,,,,,NUpath Formal/Quant Reasoning,Lowell Institute School,,,
Technology and Applications of Discrete Mathematics,Lecture,Mathematics - CPS,2400,01,3,20079,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"13 of 30 seats remain.
5 of 5 waitlist seats remain.",13,5,NUpath Formal/Quant Reasoning,,,,,Lowell Institute School,CPS Mathematics Core,,,
Statistical Quality Control,Lecture,Mathematics - CPS,2500,01,3,20272,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"29 of 30 seats remain.
5 of 5 waitlist seats remain.",29,5,Lowell Institute School,,,,,,,,,
Applied Probability and Statistics,Lecture,Mathematics - CPS,3300,01,3,20273,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"29 of 30 seats remain.
5 of 5 waitlist seats remain.",29,5,NUpath Analyzing/Using Data,,,,,Lowell Institute School,,,,
Engineering Manufacturing Process,Lecture,Mechanical Engineer Tech - CPS,2040,01,3,20206,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,Lowell Institute School,,,,,,,,,
Mechanics 2: Dynamics,Lecture,Mechanical Engineer Tech - CPS,2200,01,3,20271,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,Low Enrollment,,,,,Lowell Institute School,,,,
Business Ethics,Lecture,Philosophy - CPS,2100,01,3,20044,Thursday,S,M,T,W,F,T,S,05:50 PM - 08:35 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 140,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"24 of 30 seats remain.
10 of 10 waitlist seats remain.",24,10,NUpath Ethical Reasoning,05,50,08,35,CPS-Programs-UG,,,,
Business Ethics,Lecture,Philosophy - CPS,2100,02,3,20125,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"19 of 30 seats remain.
10 of 10 waitlist seats remain.",19,10,NUpath Ethical Reasoning,,,,,CPS-Programs-UG,,,,
Ethical Issues in Communication,Lecture,Philosophy - CPS,2120,01,3,20045,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"20 of 30 seats remain.
10 of 10 waitlist seats remain.",20,10,NUpath Ethical Reasoning,,,,,CPS-Programs-UG,,,,
Ethical Issues in Healthcare,Lecture,Philosophy - CPS,2130,02,3,20199,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"20 of 30 seats remain.
10 of 10 waitlist seats remain.",20,10,NUpath Ethical Reasoning,,,,,CPS-Programs-UG,,,,
Symbolic Logic,Lecture,Philosophy - CPS,2310,01,3,20279,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,NUpath Formal/Quant Reasoning,,,,,CPS-Programs-UG,,,,
Physics 1,Lecture,Physics - CPS,1200,01,3,20065,Monday,S,T,W,T,F,M,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 225,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"16 of 30 seats remain.
10 of 10 waitlist seats remain.",16,10,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,
Lab for PHY 1200,Lab,Physics - CPS,1201,01,1,20066,Monday,S,T,W,T,F,M,S,08:30 PM - 10:00 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,,FULL,10,CPS-Undergraduate Labs,08,30,10,00,,,,FULL: 0 of 10 seats remain.,10 of 10 waitlist seats remain.
Lab for PHY 1200,Lab,Physics - CPS,1201,02,1,20074,Monday,S,T,W,T,F,M,S,08:30 PM - 10:00 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"5 of 10 seats remain.
5 of 5 waitlist seats remain.",5,5,Low Enrollment,08,30,10,00,CPS-Undergraduate Labs,,,,
Physics 2,Lecture,Physics - CPS,2200,03,3,20112,Wednesday,S,M,T,T,F,W,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 140,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"24 of 30 seats remain.
5 of 5 waitlist seats remain.",24,5,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,
Lab for PHY 2200,Lab,Physics - CPS,2201,03,1,20113,Wednesday,S,M,T,T,F,W,S,08:30 PM - 10:00 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,4 of 10 seats remain.,4,,CPS-Undergraduate Labs,08,30,10,00,,,,,
Project Monitoring and Control,Lecture,Project Management - CPS,2000,01,3,20158,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"14 of 30 seats remain.
5 of 5 waitlist seats remain.",14,5,Low Enrollment,,,,,CPS-Programs-UG,,,,
Leading Agile Projects,Lecture,Project Management - CPS,3000,01,3,20245,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"23 of 30 seats remain.
5 of 5 waitlist seats remain.",23,5,CPS-Programs-UG,,,,,,,,,
Introduction to Behavioral Health Science Professions,Lecture,Psychology - CPS,1050,01,3,20139,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"29 of 30 seats remain.
5 of 5 waitlist seats remain.",29,5,CPS-Programs-UG,,,,,,,,,
Foundations of Psychology,Lecture,Psychology - CPS,1100,01,3,20046,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"16 of 30 seats remain.
5 of 5 waitlist seats remain.",16,5,NUpath Natural/Designed World,,,,,Lowell Institute School,,,,
Foundations of Psychology,Lecture,Psychology - CPS,1100,02,3,20266,Thursday,S,M,T,W,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 222,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"25 of 27 seats remain.
5 of 5 waitlist seats remain.",25,5,NUpath Natural/Designed World,05,50,08,20,CPS-Programs-UG,,,,
Principles of Human Learning,Lecture,Psychology - CPS,2110,01,3,20140,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"22 of 30 seats remain.
5 of 5 waitlist seats remain.",22,5,CPS-Programs-UG,,,,,,,,,
"Stress, Resilience, and Behavior Change",Lecture,Psychology - CPS,2230,02,3,20072,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"18 of 30 seats remain.
5 of 5 waitlist seats remain.",18,5,Lowell Institute School,,,,,,,,,
Human Sexuality and Love,Lecture,Psychology - CPS,2240,02,3,20076,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"19 of 30 seats remain.
10 of 10 waitlist seats remain.",19,10,Lowell Institute School,,,,,,,,,
The Opioid Crisis,Lecture,Psychology - CPS,3150,01,3,20161,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"24 of 30 seats remain.
5 of 5 waitlist seats remain.",24,5,CPS-Programs-UG,,,,,,,,,
Social Psychology,Lecture,Psychology - CPS,3200,01,3,20047,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"20 of 30 seats remain.
5 of 5 waitlist seats remain.",20,5,Lowell Institute School,,,,,,,,,
Cognition and Language,Lecture,Psychology - CPS,3220,01,3,20280,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"23 of 30 seats remain.
5 of 5 waitlist seats remain.",23,5,Lowell Institute School,,,,,,,,,
Research in Psychology,Lecture,Psychology - CPS,3450,01,3,20121,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"24 of 30 seats remain.
5 of 5 waitlist seats remain.",24,5,NUpath Writing Intensive,,,,,Lowell Institute School,,,,
Physiological Psychology,Lecture,Psychology - CPS,4230,01,3,20234,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"27 of 30 seats remain.
5 of 5 waitlist seats remain.",27,5,Lowell Institute School,,,,,,,,,
Personality,Lecture,Psychology - CPS,4310,01,3,20048,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"18 of 30 seats remain.
5 of 5 waitlist seats remain.",18,5,Lowell Institute School,,,,,,,,,
Advanced Practicum 1,Lecture,Psychology - CPS,4600,02,3,20236,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"8 of 20 seats remain.
5 of 5 waitlist seats remain.",8,5,CPS-Programs-UG,,,,,,,,,
Senior Research Seminar in Psychology,Lecture,Psychology - CPS,4850,01,3,20196,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"25 of 30 seats remain.
5 of 5 waitlist seats remain.",25,5,NUpath Capstone Experience,,,,,NUpath Writing Intensive,Lowell Institute School,,,
Introduction to Sociology,Lecture,Sociology - CPS,1100,01,3,20078,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"24 of 30 seats remain.
10 of 10 waitlist seats remain.",24,10,NUpath Societies/Institutions,,,,,CPS-Programs-UG,,,,
Sociology of Boston,Lecture,Sociology - CPS,1210,01,3,20049,Tuesday,S,M,W,T,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 158,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Boston,"21 of 25 seats remain.
5 of 5 waitlist seats remain.",21,5,NUpath Difference/Diversity,05,50,08,20,NUpath Societies/Institutions,CPS-Programs-UG,,,
Engaging Difference and Diversity,Lecture,Sociology - CPS,1220,01,3,20050,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"19 of 30 seats remain.
5 of 5 waitlist seats remain.",19,5,NUpath Difference/Diversity,,,,,NUpath Interpreting Culture,CPS-Programs-UG,,,
Race and Ethnicity,Lecture,Sociology - CPS,1230,01,3,20051,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"22 of 30 seats remain.
5 of 5 waitlist seats remain.",22,5,NUpath Difference/Diversity,,,,,NUpath Interpreting Culture,CPS-Programs-UG,,,
Popular Culture,Lecture,Sociology - CPS,2100,01,3,20052,Tuesday,S,M,W,T,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 157,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"27 of 30 seats remain.
5 of 5 waitlist seats remain.",27,5,NUpath Interpreting Culture,05,50,08,20,CPS-Programs-UG,,,,
