section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),readonly (10),meeting (2),meeting (3),meeting (4),meeting (5),status-full,status-waitlist,readonly (11),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (20),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (33),ui-state-default (34),tooltip-row (47),tooltip-row (49),ui-state-default (36),ui-state-default (37),ui-state-default (38),ui-state-default (39),ui-state-default (41),ui-state-default (42),tooltip-row (53),tooltip-row (55),tooltip-row (57),tooltip-row (59),status-bold (3),readonly (12)
AI System Technologies,Lecture,Enterprise Artfcal Intellgnce,6020,03,3,80745,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,25 of 30 seats remain.,25,,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI System Technologies,Lecture,Enterprise Artfcal Intellgnce,6020,05,3,80746,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 209,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,,FULL,,CPS-Professional Programs GR 2,,05,50,08,30,FULL: 0 of 25 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI System Technologies,Lecture,Enterprise Artfcal Intellgnce,6020,06,3,80907,Friday,S,M,T,W,T,S,F,06:00 PM - 08:40 PM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1515,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Vancouver, Canada","5 of 30 seats remain.
10 of 10 waitlist seats remain.",5,10,CPS-Professional Programs GR 2,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI System Technologies,Lecture,Enterprise Artfcal Intellgnce,6020,07,3,81431,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI System Technologies,Lecture,Enterprise Artfcal Intellgnce,6020,09,3,80934,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Portland, Maine",2 of 10 seats remain.,2,,CPS-Professional Programs GR 2,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI System Technologies,Lecture,Enterprise Artfcal Intellgnce,6020,10,3,81186,Thursday,S,M,T,W,F,S,T,02:50 PM - 05:30 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Seattle, WA","5 of 5 seats remain.
1 of 1 waitlist seats remain.",5,1,CPS-Professional Programs GR 2,,02,50,05,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI System Technologies,Lecture,Enterprise Artfcal Intellgnce,6020,11,3,81191,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Northeastern San Jose,Building:,Room: 905A,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Silicon Valley, CA",,FULL,1,CPS-Professional Programs GR 2,,06,00,08,40,FULL: 0 of 6 seats remain.,1 of 1 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI System Technologies,Lecture,Enterprise Artfcal Intellgnce,6020,12,3,81246,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 606,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada","7 of 30 seats remain.
6 of 6 waitlist seats remain.",7,6,CPS-Professional Programs GR 2,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI System Technologies,Lecture,Enterprise Artfcal Intellgnce,6020,13,3,81469,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 107,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthcare Information Processing,Lecture,Enterprise Artfcal Intellgnce,6060,01,3,81397,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 296,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"13 of 30 seats remain.
5 of 5 waitlist seats remain.",13,5,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Analytical Utilization,Lecture,Enterprise Artfcal Intellgnce,6080,01,3,80459,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 238,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,,FULL,10,CPS-Professional Programs GR 2,,05,50,08,30,FULL: 0 of 30 seats remain.,10 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Analytical Utilization,Lecture,Enterprise Artfcal Intellgnce,6080,02,3,81398,Friday,S,M,T,W,T,S,F,06:00 PM - 08:40 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Portland, Maine",27 of 30 seats remain.,27,,CPS-Professional Programs GR 2,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Communication and Visualization,Lecture,Enterprise Artfcal Intellgnce,6120,01,3,80422,Friday,S,M,T,W,T,S,F,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 221,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"7 of 30 seats remain.
10 of 10 waitlist seats remain.",7,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Governance and Responsible AI,Lecture,Enterprise Artfcal Intellgnce,6400,01,3,80954,Friday,S,M,T,W,T,S,F,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 157,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"21 of 30 seats remain.
5 of 5 waitlist seats remain.",21,5,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrated Experiential Capstone,Lecture,Enterprise Artfcal Intellgnce,6980,01,3,80460,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 270,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"1 of 17 seats remain.
10 of 10 waitlist seats remain.",1,10,CPS-Professional Programs GR 2,XN Experiential Project,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Fundamentals for Financial Institutions,Lecture,Finance - CPS,6101,01,3,80592,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 229,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"9 of 30 seats remain.
10 of 10 waitlist seats remain.",9,10,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Financial Relationships,Lecture,Finance - CPS,6120,01,3,80879,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 017,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"13 of 30 seats remain.
10 of 10 waitlist seats remain.",13,10,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment Analysis,Lecture,Finance - CPS,6161,01,3,80880,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 155,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"13 of 30 seats remain.
10 of 10 waitlist seats remain.",13,10,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Spatial Analysis,Lecture,Geographic Info Sys - CPS,5201,01,3,81334,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,CPS-Professional Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIS Customization,Lecture,Geographic Info Sys - CPS,6340,01,3,81311,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,CPS-Professional Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning a GIS Implementation,Lecture,Geographic Info Sys - CPS,6350,01,3,81312,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,CPS-Professional Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topics,Lecture,Geographic Info Sys - CPS,6983,01,3,81313,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"29 of 30 seats remain.
10 of 10 waitlist seats remain.",29,10,CPS-Professional Programs GR 1,Topics Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalization and Global Politics and Economics,Lecture,Global Studies - CPS,6100,01,4,80022,Tuesday,S,M,W,T,F,S,T,05:50 PM - 07:40 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 235,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"17 of 22 seats remain.
10 of 10 waitlist seats remain.",17,10,Low Enrollment,CPS-Professional Programs GR 2,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalization and Global Politics and Economics,Lecture,Global Studies - CPS,6100,02,4,80102,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global Literacy, Culture, and Community",Lecture,Global Studies - CPS,6101,02,4,80143,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"16 of 30 seats remain.
10 of 10 waitlist seats remain.",16,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Field Research Methods,Lecture,Global Studies - CPS,6109,02,4,80144,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"16 of 30 seats remain.
10 of 10 waitlist seats remain.",16,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Field Research Methods,Lecture,Global Studies - CPS,6109,03,4,80881,Wednesday,S,M,T,T,F,S,W,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 236,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,CPS-Professional Programs GR 2,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Funders,Lecture,Global Studies - CPS,6200,01,4,80490,Tuesday,S,M,W,T,F,S,T,05:50 PM - 07:40 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 225,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"8 of 16 seats remain.
10 of 10 waitlist seats remain.",8,10,Low Enrollment,CPS-Professional Programs GR 2,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Funders,Lecture,Global Studies - CPS,6200,02,4,80491,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"24 of 30 seats remain.
10 of 10 waitlist seats remain.",24,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Developers,Lecture,Global Studies - CPS,6210,01,4,81211,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immigration and Labor,Lecture,Global Studies - CPS,6310,01,4,81181,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peace and Conflict,Lecture,Global Studies - CPS,6320,02,4,80145,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"22 of 30 seats remain.
10 of 10 waitlist seats remain.",22,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Conflict and Cooperation,Lecture,Global Studies - CPS,6326,02,4,80493,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"22 of 30 seats remain.
10 of 10 waitlist seats remain.",22,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Economics of Development,Lecture,Global Studies - CPS,6340,01,4,81212,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"22 of 30 seats remain.
10 of 10 waitlist seats remain.",22,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional Studies: Middle East and North Africa,Lecture,Global Studies - CPS,6502,10,4,80395,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional Studies: Middle East and North Africa,Lecture,Global Studies - CPS,6502,11,4,80554,Thursday,S,M,T,W,F,S,T,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 430,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,CPS-Professional Programs GR 2,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilateral Diplomacy,Lecture,Global Studies - CPS,6560,01,4,80406,Tuesday,S,M,W,T,F,S,T,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 035,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"19 of 30 seats remain.
10 of 10 waitlist seats remain.",19,10,CPS-Professional Programs GR 2,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilateral Diplomacy,Lecture,Global Studies - CPS,6560,10,4,80397,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Practice of Diplomacy,Lecture,Global Studies - CPS,6600,01,4,80706,Wednesday,S,M,T,T,F,S,W,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 325,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"22 of 30 seats remain.
10 of 10 waitlist seats remain.",22,10,CPS-Professional Programs GR 2,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Practice of Diplomacy,Lecture,Global Studies - CPS,6600,02,4,80707,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Issues and Challenges in the Practice of Global Health,Lecture,Global Studies - CPS,6710,02,4,80557,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,Low Enrollment,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Issues and Challenges in the Practice of Global Health,Lecture,Global Studies - CPS,6710,03,4,80882,Thursday,S,M,T,W,F,S,T,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 270,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,Low Enrollment,CPS-Professional Programs GR 2,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights,Lecture,Global Studies - CPS,6740,02,4,80162,Wednesday,S,M,T,T,F,S,W,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 228,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"24 of 30 seats remain.
10 of 10 waitlist seats remain.",24,10,CPS-Professional Programs GR 2,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights,Lecture,Global Studies - CPS,6740,10,4,80151,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case Study in Global Studies,Lecture,Global Studies - CPS,6920,10,4,80103,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"5 of 13 seats remain.
10 of 10 waitlist seats remain.",5,10,CPS-Professional Programs GR 2,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
