section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,meeting (2),meeting (3),meeting (4),meeting (5),tooltip-row,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),readonly (7),status-full,status-bold,readonly (8),readonly (10),status-bold (2),status-waitlist,ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),readonly (11),readonly (12),readonly (13),readonly (14),readonly (15),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),readonly (16),readonly (17),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),ui-state-default (35),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),tooltip-row (57),tooltip-row (59)
Machine Learning and Data Mining 1,Lecture,Data Science,4400,03,4,37090,Tuesday,S,T,M,T,F,W,T,10:30 AM - 12:30 PM,10,30,12,30,Type: Final Exam,Building: Ell Hall,Room: AUD,Start Date: 04/22/2025,End Date: 04/22/2025,"Tuesday,Friday",F,S,S,M,W,T,S,01:35 PM - 03:15 PM,01,35,03,15,Type: Class,Type:,Building: Shillman Hall,Building:,Room: 105,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/15/2025,End Date:,Boston,,1,NUpath Analyzing/Using Data,NUpath Capstone Experience,30,,,,,,,,,,,,,,,,,,,,,,,,NUpath Writing Intensive,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning and Data Mining 1,Lecture,Data Science,4400,04,4,41621,"Monday,Thursday",S,M,T,T,,W,F,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 01/06/2025,End Date: 04/15/2025,,S,,,,,,,,,,,,,,,,,,,,,,Online,,73,NUpath Analyzing/Using Data,NUpath Capstone Experience,,,,,,,,,,,,,,,,,,,,,,,,,NUpath Writing Intensive,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning and Data Mining 2,Lecture,Data Science,4420,03,4,36772,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,10:30 AM - 11:35 AM,10,30,11,35,Type: Class,Building: West Village G,Room: 102,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Mugar Life Science Building,Building:,Room: 201,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,,2,NUpath Analyzing/Using Data,NUpath Capstone Experience,15,,,,,,,,,,,,,,,,,,,,,,,,NUpath Writing Intensive,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning and Data Mining 2,Lecture,Data Science,4420,04,4,39822,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,01:35 PM - 02:40 PM,01,35,02,40,Type: Class,Building: Churchill Hall,Room: 101,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Mugar Life Science Building,Building:,Room: 201,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,,1,NUpath Analyzing/Using Data,NUpath Capstone Experience,15,,,,,,,,,,,,,,,,,,,,,,,,NUpath Writing Intensive,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practical Neural Networks,Lecture,Data Science,4440,02,4,36773,"Tuesday,Friday",S,T,M,F,,W,T,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Kariotis Hall,Room: 011,Start Date: 01/06/2025,End Date: 04/15/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,2,NUpath Analyzing/Using Data,Computer&Info Sci,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Programming for Data Science,Lecture,Data Science,5010,01,4,32302,Wednesday,S,W,M,,,T,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Shillman Hall,Room: 135,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Boston,,54,Graduate CCIS Data Sci Cert,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Programming for Data Science,Lecture,Data Science,5010,02,4,40578,Monday,S,M,T,,,W,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Roux Institute 100 Fore St.,Room: 201,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Portland, Maine",,5,Graduate CCIS Data Sci Cert,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Programming for Data Science,Lecture,Data Science,5010,03,4,40754,Thursday,S,T,M,,,T,W,03:00 PM - 06:20 PM,03,00,06,20,Type: Class,Building: Northeastern San Jose,Room: 902,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Silicon Valley, CA",,16,Graduate CCIS Data Sci Cert,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Linear Algebra and Probability for Data Science,Lecture,Data Science,5020,01,4,37155,"Monday,Wednesday",S,M,T,W,,T,F,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Building: Richards Hall,Room: 236,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,64,Graduate CCIS Data Sci Cert,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Linear Algebra and Probability for Data Science,Lecture,Data Science,5020,02,4,40579,Tuesday,S,T,M,,,W,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Roux Institute 100 Fore St.,Room: 215,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Portland, Maine",,2,Graduate CCIS Data Sci Cert,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Linear Algebra and Probability for Data Science,Lecture,Data Science,5020,03,4,40755,Tuesday,S,T,M,,,W,T,03:00 PM - 06:20 PM,03,00,06,20,Type: Class,Building: Northeastern San Jose,Room: 1012,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Silicon Valley, CA",,14,Graduate CCIS Data Sci Cert,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Data Management and Processing,Lecture,Data Science,5110,01,4,37156,"Tuesday,Friday",S,T,M,F,,W,T,03:25 PM - 05:05 PM,03,25,05,05,Type: Class,Building: Robinson Hall,Room: 107,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,FULL: 0 of 70 seats remain.,FULL,Graduate CCIS Data Sci Cert,,50,50 of 50 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Data Management and Processing,Lecture,Data Science,5110,02,4,40580,Thursday,S,T,M,,,T,W,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Roux Institute 100 Fore St.,Room: 132,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Portland, Maine",,3,Graduate CCIS Data Sci Cert,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Data Management and Processing,Lecture,Data Science,5110,03,4,40581,Wednesday,S,W,M,,,T,T,01:00 PM - 04:20 PM,01,00,04,20,Type: Class,Building: Roux Institute 100 Fore St.,Room: 137,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Portland, Maine",,12,Graduate CCIS Data Sci Cert,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Data Management and Processing,Lecture,Data Science,5110,04,4,40599,Friday,S,F,M,,,T,W,09:30 AM - 12:50 PM,09,30,12,50,Type: Class,Building: Northeastern Arlington Tower,Room: 1504,Start Date: 01/06/2025,End Date: 04/26/2025,,T,S,,,,,,,,,,,,,,,,,,,,,"Arlington, VA",,22,Graduate CCIS Data Sci Cert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supervised Machine Learning and Learning Theory,Lecture,Data Science,5220,01,4,37257,"Tuesday,Friday",S,T,M,F,,W,T,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: West Village G,Room: 104,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,40,Graduate CCIS Data Sci Cert,NUpath Capstone Experience,40,,,,,,,,,,,,,,,,,,,,,,,,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supervised Machine Learning and Learning Theory,Lecture,Data Science,5220,02,4,37258,Wednesday,S,W,M,,,T,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Shillman Hall,Room: 220,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Boston,,42,Graduate CCIS Data Sci Cert,NUpath Capstone Experience,40,,,,,,,,,,,,,,,,,,,,,,,,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supervised Machine Learning and Learning Theory,Lecture,Data Science,5220,03,4,40582,Thursday,S,T,M,,,T,W,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Roux Institute 100 Fore St.,Room: 218,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Portland, Maine",,19,Graduate CCIS Data Sci Cert,NUpath Capstone Experience,15,,,,,,,,,,,,,,,,,,,,,,,,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsupervised Machine Learning and Data Mining,Lecture,Data Science,5230,01,4,32090,Tuesday,S,T,M,,,W,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Shillman Hall,Room: 220,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Boston,,27,Graduate CCIS Data Sci Cert,NUpath Capstone Experience,50,,,,,,,,,,,,,,,,,,,,,,,,NUpath Writing Intensive,Crosslisted Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsupervised Machine Learning and Data Mining,Lecture,Data Science,5230,02,4,35358,Tuesday,S,T,M,T,,W,T,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Building: Shillman Hall,Room: 220,Start Date: 01/06/2025,End Date: 04/26/2025,Thursday,F,S,S,M,T,W,F,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Type:,Building: Shillman Hall,Building:,Room: 220,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/26/2025,End Date:,Boston,,9,Graduate CCIS Data Sci Cert,NUpath Capstone Experience,50,,,S,,,,,,,,,,,,,,,,,,,,,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsupervised Machine Learning and Data Mining,Lecture,Data Science,5230,03,4,40583,Wednesday,S,W,M,,,T,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Roux Institute 100 Fore St.,Room: 132,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Portland, Maine",,17,Graduate CCIS Data Sci Cert,NUpath Capstone Experience,15,,,,,,,,,,,,,,,,,,,,,,,,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsupervised Machine Learning and Data Mining,Lecture,Data Science,5230,04,4,40756,Wednesday,S,W,M,,,T,T,03:00 PM - 06:20 PM,03,00,06,20,Type: Class,Building: Northeastern San Jose,Room: 913,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Silicon Valley, CA",FULL: 0 of 10 seats remain.,FULL,Graduate CCIS Data Sci Cert,NUpath Capstone Experience,,,,,,,,,,,,,,,,,,,,,,,,,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Science Capstone,Lecture,Data Science,5500,01,4,37158,"Monday,Wednesday",S,M,T,W,,T,F,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Building: Richards Hall,Room: 458,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,54,Graduate CCIS Data Sci Cert,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Science Capstone,Lecture,Data Science,5500,02,4,37259,Tuesday,S,T,M,,,W,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Hurtig Hall,Room: 130,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Boston,,41,Graduate CCIS Data Sci Cert,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Science Capstone,Lecture,Data Science,5500,03,4,40757,Tuesday,S,T,M,,,W,T,03:00 PM - 06:20 PM,03,00,06,20,Type: Class,Building: Northeastern San Jose,Room: 1045,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Silicon Valley, CA",,15,Graduate CCIS Data Sci Cert,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Science Capstone,Lecture,Data Science,5500,04,4,40773,Tuesday,S,T,M,,,W,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Portland, Maine",,3,Graduate CCIS Data Sci Cert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpTp: Large Language Models,Lecture,Data Science,5983,01,4,40514,Monday,S,M,T,,,W,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: West Village H,Room: 108,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Boston,,6,Graduate CCIS Data Sci Cert,Topics Course,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thesis,Individual Instruction,Data Science,7990,02,4,42169,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,Graduate CCIS Data Sci Cert,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Individual Instruction,Data Science,7995,01,4,41173,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,Graduate CCIS Data Sci Cert,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Individual Instruction,Data Science,7995,02,4,41438,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,Graduate CCIS Data Sci Cert,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Individual Instruction,Data Science,7995,03,4,41515,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,Graduate CCIS Data Sci Cert,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Individual Instruction,Data Science,7995,04,4,41929,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,Graduate CCIS Data Sci Cert,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Individual Instruction,Data Science,7995,05,4,42090,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,Graduate CCIS Data Sci Cert,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Individual Instruction,Data Science,7995,06,4,42091,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,Graduate CCIS Data Sci Cert,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Individual Instruction,Data Science,7995,07,4,42170,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,Graduate CCIS Data Sci Cert,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Individual Instruction,Data Science,7995,08,4,42326,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",FULL: 0 of 2 seats remain.,FULL,Graduate CCIS Data Sci Cert,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deaf People in Society,Lecture,Deaf Studies,1500,01,4,33452,"Tuesday,Friday",S,T,M,F,,W,T,01:35 PM - 03:15 PM,01,35,03,15,Type: Class,Building: Ryder Hall,Room: 429,Start Date: 01/06/2025,End Date: 04/15/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,6,NU Core Comp Stdy of Cultures,NUpath Difference/Diversity,15,,,,,,,,,,,,,,,,,,,,,,,,NU Core Humanities Lvl 1,NUpath Interpreting Culture,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deaf History and Culture,Lecture,Deaf Studies,2500,01,4,35297,"Tuesday,Friday",S,T,M,F,,W,T,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Ryder Hall,Room: 271,Start Date: 01/06/2025,End Date: 04/15/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,12,NU Core Comp Stdy of Cultures,NUpath Difference/Diversity,15,,,,,,,,,,,,,,,,,,,,,,,,NUpath Interpreting Culture,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL Linguistics,Lecture,Deaf Studies,2700,01,4,30047,"Tuesday,Friday",S,T,M,F,,W,T,01:35 PM - 03:15 PM,01,35,03,15,Type: Class,Building: Ryder Hall,Room: 271,Start Date: 01/06/2025,End Date: 04/15/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,12,NU Core Writing Intsv in Majr,NUpath Writing Intensive,15,,,,,,,,,,,,,,,,,,,,,,,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Science,Lecture,Earth & Environmental Sciences,1101,02,4,34091,"Monday,Thursday",S,M,T,T,,W,F,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Building: Robinson Hall,Room: 109,Start Date: 01/06/2025,End Date: 04/15/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,20,NUpath Analyzing/Using Data,NUpath Natural/Designed World,10,,,,,,,,,,,,,,,,,,,,,,,,NU Core Science/Tech Lvl 1,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Climate Change,Lecture,Earth & Environmental Sciences,1110,01,4,39927,Thursday,S,T,M,T,T,T,W,10:30 AM - 12:30 PM,10,30,12,30,Type: Final Exam,Building: West Village G,Room: 108,Start Date: 04/17/2025,End Date: 04/17/2025,Tuesday,F,S,S,M,W,T,F,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Type:,Building: Richards Hall,Building:,Room: 458,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/15/2025,End Date:,Boston,,33,NUpath Analyzing/Using Data,NUpath Natural/Designed World,10,,Thursday,S,S,M,T,W,F,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Type:,Building: Richards Hall,Building:,Room: 458,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/15/2025,End Date:,NU Core Science/Tech Lvl 1,UG College of Science,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Earth,Lecture,Earth & Environmental Sciences,1200,01,4,30090,"Tuesday,Friday",S,T,M,F,,W,T,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Richards Hall,Room: 300,Start Date: 01/06/2025,End Date: 04/15/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,2,NUpath Natural/Designed World,NU Core Science/Tech Lvl 1,,,,,,,,,,,,,,,,,,,,,,,,,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Earth,Lecture,Earth & Environmental Sciences,1200,02,4,40954,"Monday,Thursday",S,M,T,T,T,W,F,08:45 AM - 10:25 AM,08,45,10,25,Type: Class,Building: Graduate School of Business,Room: 109,Start Date: 01/06/2025,End Date: 04/15/2025,Tuesday,S,S,M,W,T,F,S,01:00 PM - 03:00 PM,01,00,03,00,Type: Final Exam,Type:,Building: Graduate School of Business,Building:,Room: 109,Room:,Start Date: 04/22/2025,Start Date:,End Date: 04/22/2025,End Date:,"Oakland, CA",,14,NUpath Natural/Designed World,NU Core Science/Tech Lvl 1,,,,,,,,,,,,,,,,,,,,,,,,,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ENVR 1200,Lab,Earth & Environmental Sciences,1201,01,1,30873,Monday,S,M,T,,,W,T,11:45 AM - 02:15 PM,11,45,02,15,Type: Class,Building: Forsyth Building,Room: 231,Start Date: 01/06/2025,End Date: 04/15/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Boston,FULL: 0 of 22 seats remain.,FULL,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ENVR 1200,Lab,Earth & Environmental Sciences,1201,02,1,33446,Monday,S,M,T,,,W,T,02:50 PM - 05:20 PM,02,50,05,20,Type: Class,Building: Forsyth Building,Room: 231,Start Date: 01/06/2025,End Date: 04/15/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Boston,,1,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
