section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),readonly (10),readonly (11),meeting (2),meeting (3),meeting (4),meeting (5),status-full,status-waitlist,ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (20),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),ui-pillbox-summary (6),ui-state-default (36),ui-state-default (37),ui-state-default (38),ui-state-default (39),ui-state-default (40),ui-state-default (41),meeting (26),meeting (27),meeting (28),meeting (29),meeting (30),tooltip-row (51),tooltip-row (52),tooltip-row (53),tooltip-row (54),tooltip-row (55),tooltip-row (56),tooltip-row (57),tooltip-row (58),tooltip-row (59),tooltip-row (60),readonly (12)
Experiential Project Preparation,Seminar,Interdiscpln Studies - CPS,6200,59,1,21830,None,S,M,T,W,T,F,S,-,Building: Virtual Space- Online class,Room: ROOM,Start Date: 01/06/2025,End Date: 03/29/2025,Online,"2 of 25 seats remain.
10 of 10 waitlist seats remain.",2,10,CPS-Profession Programs Non-Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiential Project Preparation,Seminar,Interdiscpln Studies - CPS,6200,60,1,21851,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 03/29/2025,Online,"6 of 25 seats remain.
10 of 10 waitlist seats remain.",6,10,CPS-Profession Programs Non-Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Field Study Experience,Off-campus instruction,Interdiscpln Studies - CPS,6900,01,4,21387,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 03/29/2025,Online,"21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,CPS-Professional Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiential Learning Projects for Professionals,Individual Instruction,Interdiscpln Studies - CPS,6940,01,3,20288,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Building: Kariotis Hall,Room: 102,Start Date: 01/06/2025,End Date: 01/06/2025,Boston,"15 of 30 seats remain.
10 of 10 waitlist seats remain.",15,10,No Course Evaluation,CPS-Leadership Programs GR 1,XN Experiential Project,05,50,08,30,,,Monday,S,T,W,T,F,M,S,05:50 PM - 08:30 PM,05,50,08,30,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 102,Room:,Start Date: 01/13/2025,Start Date:,End Date: 01/13/2025,End Date:,Monday,S,T,W,T,F,M,S,05:50 PM - 08:30 PM,05,50,08,30,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 102,Room:,Start Date: 02/03/2025,Start Date:,End Date: 02/03/2025,End Date:,Monday,S,T,W,T,F,M,S,05:50 PM - 08:30 PM,05,50,08,30,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 102,Room:,Start Date: 02/24/2025,Start Date:,End Date: 02/24/2025,End Date:,Monday,S,T,W,T,F,M,05:50 PM - 08:30 PM,05,50,08,30,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 102,Room:,Start Date: 03/10/2025,Start Date:,End Date: 03/10/2025,End Date:,Monday,S,T,W,T,F,M,05:50 PM - 08:30 PM,05,50,08,30,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 102,Room:,Start Date: 03/24/2025,Start Date:,End Date: 03/24/2025,End Date:,
"Law and Legal Reasoning 1: Legal Reasoning, Methods, and Research",Lecture,Law & Policy - CPS,6120,02,3,20578,Friday,S,M,T,W,T,S,F,08:30 AM - 06:00 PM,Building: None,Room: None,Start Date: 02/07/2025,End Date: 02/07/2025,"Seattle, WA",16 of 29 seats remain.,16,,"Seattle, WA program eligible",CPS-Law Policy Doctorate Prgm,CPS Cohort,08,30,06,00,,,Saturday,S,M,T,W,T,S,F,09:30 AM - 01:00 PM,09,30,01,00,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 02/08/2025,Start Date:,End Date: 02/08/2025,End Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law and Legal Reasoning 4,Lecture,Law & Policy - CPS,6123,03,3,20667,Sunday,M,T,W,T,F,S,S,09:30 AM - 05:00 PM,Building: None,Room: None,Start Date: 02/09/2025,End Date: 02/09/2025,"Seattle, WA",10 of 20 seats remain.,10,,"Seattle, WA program eligible",CPS-Law Policy Doctorate Prgm,CPS Cohort,09,30,05,00,,,Saturday,S,M,T,W,T,S,F,01:30 PM - 06:30 PM,01,30,06,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 02/08/2025,Start Date:,End Date: 02/08/2025,End Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law and Policy Concepts 2: Strategizing for Public Policy,Lecture,Law & Policy - CPS,6402,01,3,21053,Sunday,M,T,W,T,F,S,S,08:00 AM - 03:00 PM,Building: 89 Broad Street,Room: 205,Start Date: 03/09/2025,End Date: 03/09/2025,Boston,18 of 25 seats remain.,18,,CPS-Law Policy Doctorate Prgm,CPS Cohort,,08,00,03,00,,,Sunday,M,T,W,T,F,S,S,08:00 AM - 03:00 PM,08,00,03,00,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 205,Room:,Start Date: 02/02/2025,Start Date:,End Date: 02/02/2025,End Date:,Saturday,S,M,T,W,T,S,F,05:30 PM - 06:30 PM,05,30,06,30,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 205,Room:,Start Date: 03/08/2025,Start Date:,End Date: 03/08/2025,End Date:,Saturday,S,M,T,W,T,S,F,05:30 PM - 06:30 PM,05,30,06,30,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 205,Room:,Start Date: 02/01/2025,Start Date:,End Date: 02/01/2025,End Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economics for Policy Analysis,Lecture,Law & Policy - CPS,6410,01,3,21383,Friday,S,M,T,W,T,S,F,08:30 AM - 06:00 PM,Building: None,Room: None,Start Date: 02/07/2025,End Date: 02/07/2025,"Seattle, WA",16 of 25 seats remain.,16,,"Seattle, WA program eligible",CPS-Law Policy Doctorate Prgm,CPS Cohort,08,30,06,00,,,Saturday,S,M,T,W,T,S,F,09:30 AM - 01:00 PM,09,30,01,00,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 02/08/2025,Start Date:,End Date: 02/08/2025,End Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Methods,Lecture,Law & Policy - CPS,6424,01,3,20470,Sunday,M,T,W,T,F,S,S,09:30 AM - 05:00 PM,Building: None,Room: None,Start Date: 02/09/2025,End Date: 02/09/2025,"Seattle, WA",13 of 25 seats remain.,13,,"Seattle, WA program eligible",CPS-Law Policy Doctorate Prgm,CPS Cohort,09,30,05,00,,,Saturday,S,M,T,W,T,S,F,01:30 PM - 06:30 PM,01,30,06,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 02/08/2025,Start Date:,End Date: 02/08/2025,End Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Political and Moral Ethics and Dilemmas,Lecture,Law & Policy - CPS,6431,01,3,20342,Sunday,M,T,W,T,F,S,S,09:30 AM - 05:00 PM,Building: None,Room: None,Start Date: 02/09/2025,End Date: 02/09/2025,"Seattle, WA",16 of 25 seats remain.,16,,"Seattle, WA program eligible",CPS-Law Policy Doctorate Prgm,CPS Cohort,09,30,05,00,,,Saturday,S,M,T,W,T,S,F,01:30 PM - 06:30 PM,01,30,06,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 02/08/2025,Start Date:,End Date: 02/08/2025,End Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Policy Theory and Practice 1,Lecture,Law & Policy - CPS,6450,01,3,21055,Saturday,S,M,T,W,T,F,S,09:15 AM - 05:15 PM,Building: 89 Broad Street,Room: 205,Start Date: 03/08/2025,End Date: 03/08/2025,Boston,13 of 20 seats remain.,13,,CPS-Law Policy Doctorate Prgm,CPS Cohort,,09,15,05,15,,,Saturday,S,M,T,W,T,S,F,09:15 AM - 05:15 PM,09,15,05,15,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 205,Room:,Start Date: 02/01/2025,Start Date:,End Date: 02/01/2025,End Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctoral Research Design 2,Lecture,Law & Policy - CPS,6501,01,3,20668,Friday,S,M,T,W,T,S,F,08:30 AM - 06:00 PM,Building: None,Room: None,Start Date: 02/07/2025,End Date: 02/07/2025,"Seattle, WA",8 of 20 seats remain.,8,,"Seattle, WA program eligible",CPS-Law Policy Doctorate Prgm,CPS Cohort,08,30,06,00,,,Saturday,S,M,T,W,T,S,F,09:00 AM - 01:00 PM,09,00,01,00,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 02/08/2025,Start Date:,End Date: 02/08/2025,End Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thesis Continuation&#8212;Part Time,Individual Instruction,Law & Policy - CPS,7994,01,0,21220,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 03/29/2025,"No campus, no room needed",1 of 5 seats remain.,1,,No Course Evaluation,"Seattle, WA program eligible",CPS-Law Policy Doctorate Prgm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thesis Continuation&#8212;Part Time,Individual Instruction,Law & Policy - CPS,7994,02,0,21221,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 03/29/2025,"No campus, no room needed",3 of 5 seats remain.,3,,No Course Evaluation,"Seattle, WA program eligible",CPS-Law Policy Doctorate Prgm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thesis Continuation&#8212;Part Time,Individual Instruction,Law & Policy - CPS,7994,03,0,21247,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 03/29/2025,"No campus, no room needed",1 of 2 seats remain.,1,,No Course Evaluation,CPS-Law Policy Doctorate Prgm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing Your Leadership Capability,Lecture,Leadership Studies - CPS,6100,02,3,20025,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/15/2025,Online,"10 of 25 seats remain.
5 of 5 waitlist seats remain.",10,5,"Charlotte, NC program eligible",CPS-Leadership Programs GR 1,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing Your Leadership Capability,Lecture,Leadership Studies - CPS,6100,03,3,20026,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Building: Richards Hall,Room: 237,Start Date: 01/06/2025,End Date: 02/15/2025,Boston,"8 of 20 seats remain.
10 of 10 waitlist seats remain.",8,10,CPS-Leadership Programs GR 1,CPS Digital Badge,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing Your Leadership Capability,Lecture,Leadership Studies - CPS,6100,04,3,21117,Monday,S,T,W,T,F,S,M,02:50 PM - 05:30 PM,Building: Northeastern San Jose,Room: 903,Start Date: 02/18/2025,End Date: 03/29/2025,"Silicon Valley, CA",4 of 5 seats remain.,4,,CPS-Leadership Programs GR 1,CPS Digital Badge,,02,50,05,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing Your Leadership Capability,Lecture,Leadership Studies - CPS,6100,05,3,21802,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/18/2025,End Date: 03/29/2025,Online,14 of 30 seats remain.,14,,CPS-Leadership Programs GR 1,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing Your Leadership Capability,Lecture,Leadership Studies - CPS,6100,07,3,20054,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Building: Richards Hall,Room: 237,Start Date: 02/18/2025,End Date: 03/29/2025,Boston,"10 of 20 seats remain.
4 of 4 waitlist seats remain.",10,4,CPS-Leadership Programs GR 1,CPS Digital Badge,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing Your Leadership Capability,Lecture,Leadership Studies - CPS,6100,10,3,21116,Monday,S,T,W,T,F,S,M,02:50 PM - 05:30 PM,Building: 401 Terry Ave,Room: 142,Start Date: 02/18/2025,End Date: 03/29/2025,"Seattle, WA","3 of 5 seats remain.
1 of 1 waitlist seats remain.",3,1,CPS-Leadership Programs GR 1,CPS Digital Badge,,02,50,05,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing Your Leadership Capability,Lecture,Leadership Studies - CPS,6100,11,3,21124,Friday,S,M,T,W,T,S,F,06:00 PM - 08:40 PM,Building: Roux Institute 100 Fore St.,Room: 136,Start Date: 01/06/2025,End Date: 02/15/2025,"Portland, Maine",22 of 30 seats remain.,22,,Roux Institute,Portland Maine Eligible,CPS Digital Badge,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing Your Leadership Capability,Lecture,Leadership Studies - CPS,6100,12,3,21777,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/15/2025,Online,1 of 6 seats remain.,1,,Toronto program eligible,CPS-Leadership Programs GR 1,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leadership Challenge Lab,Lecture,Leadership Studies - CPS,6101,01,1,20432,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/18/2025,End Date: 03/29/2025,Online,"3 of 30 seats remain.
6 of 6 waitlist seats remain.",3,6,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Teams Strategically in a Global Environment,Lecture,Leadership Studies - CPS,6110,01,3,20028,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Building: Science Engineering Complex,Room: 142,Start Date: 01/06/2025,End Date: 02/15/2025,Boston,"11 of 30 seats remain.
10 of 10 waitlist seats remain.",11,10,CPS-Leadership Programs GR 1,CPS Digital Badge,XN Experiential Project,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Teams Strategically in a Global Environment,Lecture,Leadership Studies - CPS,6110,02,3,20029,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/15/2025,Online,9 of 25 seats remain.,9,,"Charlotte, NC program eligible",CPS-Leadership Programs GR 1,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XN Experiential Project
Leading Teams Strategically in a Global Environment,Lecture,Leadership Studies - CPS,6110,07,3,21125,Friday,S,M,T,W,T,S,F,06:00 PM - 08:40 PM,Building: Roux Institute 100 Fore St.,Room: 203,Start Date: 02/18/2025,End Date: 03/29/2025,"Portland, Maine",27 of 30 seats remain.,27,,Roux Institute,Portland Maine Eligible,CPS Digital Badge,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XN Experiential Project
Leading Teams Strategically in a Global Environment,Lecture,Leadership Studies - CPS,6110,08,3,21523,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/15/2025,Online,7 of 10 seats remain.,7,,Toronto program eligible,CPS-Leadership Programs GR 1,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XN Experiential Project
Developing Strategic and Authentic Leadership Communication,Lecture,Leadership Studies - CPS,6115,01,3,20145,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Building: Dodge Hall,Room: 330,Start Date: 01/06/2025,End Date: 02/15/2025,Boston,"18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,CPS-Leadership Programs GR 1,CPS Digital Badge,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing Strategic and Authentic Leadership Communication,Lecture,Leadership Studies - CPS,6115,02,3,20177,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/18/2025,End Date: 03/29/2025,Online,"12 of 30 seats remain.
10 of 10 waitlist seats remain.",12,10,"Charlotte, NC program eligible",CPS-Leadership Programs GR 1,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing Organizational Success through Leadership Development,Lecture,Leadership Studies - CPS,6120,01,3,20183,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Building: Hastings Suite,Room: 105,Start Date: 02/18/2025,End Date: 03/29/2025,Boston,"5 of 20 seats remain.
10 of 10 waitlist seats remain.",5,10,CPS-Leadership Programs GR 1,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing Organizational Success through Leadership Development,Lecture,Leadership Studies - CPS,6120,02,3,21691,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Building: Roux Institute 100 Fore St.,Room: 235,Start Date: 02/18/2025,End Date: 03/29/2025,"Portland, Maine",3 of 6 seats remain.,3,,CPS-Leadership Programs GR 1,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing Organizational Success through Leadership Development,Lecture,Leadership Studies - CPS,6120,03,3,20031,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/15/2025,Online,"19 of 25 seats remain.
10 of 10 waitlist seats remain.",19,10,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing Organizational Success through Leadership Development,Lecture,Leadership Studies - CPS,6120,04,3,21529,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/15/2025,Online,7 of 10 seats remain.,7,,Toronto program eligible,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethical Leadership,Lecture,Leadership Studies - CPS,6135,01,3,20032,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/15/2025,Online,"17 of 30 seats remain.
10 of 10 waitlist seats remain.",17,10,"Charlotte, NC program eligible",CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethical Leadership,Lecture,Leadership Studies - CPS,6135,02,3,20067,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Building: Snell Library,Room: 031,Start Date: 01/06/2025,End Date: 02/15/2025,Boston,"16 of 30 seats remain.
10 of 10 waitlist seats remain.",16,10,CPS-Leadership Programs GR 1,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethical Leadership,Lecture,Leadership Studies - CPS,6135,05,3,20066,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Building: Ryder Hall,Room: 126,Start Date: 02/18/2025,End Date: 03/29/2025,Boston,"7 of 20 seats remain.
10 of 10 waitlist seats remain.",7,10,CPS-Leadership Programs GR 1,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethical Leadership,Lecture,Leadership Studies - CPS,6135,08,3,21533,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/15/2025,Online,8 of 10 seats remain.,8,,Toronto program eligible,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leadership Strategy, Design, and Practice",Lecture,Leadership Studies - CPS,6140,04,3,20058,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/18/2025,End Date: 03/29/2025,Online,"19 of 25 seats remain.
10 of 10 waitlist seats remain.",19,10,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
