section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default (2),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,meeting (2),meeting (3),meeting (4),meeting (5),tooltip-row,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),readonly (8),status-bold,readonly (9),status-full,readonly (10),readonly (11),status-bold (2),status-waitlist,readonly (12),readonly (13),status-bold (3),readonly (14),readonly (15),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-state-default (18),ui-state-default (25)
Co-op Work Experience Abroad,Individual Instruction,Engineering Cooperative Ed,6965,66,0,41393,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",99 of 99 seats remain.,99,GSEN Engineering,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Engineering Cooperative Ed,6965,67,0,41394,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",99 of 99 seats remain.,99,GSEN Engineering,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Engineering Cooperative Ed,6965,68,0,41395,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",99 of 99 seats remain.,99,GSEN Engineering,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Engineering Cooperative Ed,6965,69,0,41396,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",99 of 99 seats remain.,99,GSEN Engineering,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Fieldwork,Individual Instruction,Engineering Interdisciplinary,9700,01,0,42267,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",4 of 5 seats remain.,4,GSEN Engineering,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Fieldwork - Half-Time,Individual Instruction,Engineering Interdisciplinary,9702,02,0,41782,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",5 of 5 seats remain.,5,GSEN Engineering,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Project Management,Lecture,Engineering Management,5220,02,4,40333,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Dodge Hall,Room: 119,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,"25 of 54 seats remain.
25 of 25 waitlist seats remain.",25,GSEN Engineering,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Project Management,Lecture,Engineering Management,5220,03,4,40897,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Online,3 of 30 seats remain.,3,GSEN Engineering,,Vancouver program eligible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economic Decision Making,Lecture,Engineering Management,6225,01,4,40341,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Online,,FULL,GSEN Engineering,FULL: 0 of 50 seats remain.,Vancouver program eligible,,0,0 of 20 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Management for Engineers,Lecture,Engineering Management,6305,V30,4,40863,"Tuesday,Thursday",M,W,T,F,S,06:00 PM - 09:30 PM,06,00,09,30,Type: Class,Building: Richards Hall,Room: 275,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,24 of 35 seats remain.,24,GSEN Engineering,,Streaming Video creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Management for Engineers,Lecture,Engineering Management,6305,V35,4,40081,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Online,7 of 30 seats remain.,7,COE-Video Streaming,,GSEN Video Streaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Writing,Lecture,English,2700,01,4,40339,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NUpath Creative Express/Innov,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th- and 21st-Century Literatures,Seminar,English,3161,01,4,41947,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: Ryder Hall,Room: 273,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,UG Col Socl Sci & Humanities,FULL: 0 of 19 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poetry Workshop,Seminar,English,3377,01,4,41948,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NUpath Creative Express/Innov,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directed Study,Individual Instruction,English,5976,01,1 TO 4,42304,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",,FULL,GS Col Socl Sci & Humanities,FULL: 0 of 1 seats remain.,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,English,6964,01,0,40563,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",10 of 10 seats remain.,10,GS Col Socl Sci & Humanities,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Year Writing,Lecture,English Writing,1111,01,4,40169,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Stearns Center,Room: 012,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,1 of 19 seats remain.,1,NU Core/NUpath 1st Yr Writing,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Year Writing,Lecture,English Writing,1111,02,4,40184,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Ryder Hall,Room: 273,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,1 of 19 seats remain.,1,NU Core/NUpath 1st Yr Writing,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,01,4,40687,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,08:00 AM - 09:40 AM,08,00,09,40,Type: Class,Building: Kariotis Hall,Room: 204,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,11 of 19 seats remain.,11,NU Core/NUpath Adv Writ Dscpl,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,02,4,40170,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Ryder Hall,Room: 267,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,1 of 19 seats remain.,1,NU Core/NUpath Adv Writ Dscpl,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,03,4,40688,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Ryder Hall,Room: 220,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,04,4,40722,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: Kariotis Hall,Room: 204,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,1 of 19 seats remain.,1,NU Core/NUpath Adv Writ Dscpl,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,05,4,40424,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: Ryder Hall,Room: 220,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,1 of 19 seats remain.,1,NU Core/NUpath Adv Writ Dscpl,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,06,4,41328,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: Forsyth Building,Room: 238,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,10 of 19 seats remain.,10,NU Core/NUpath Adv Writ Dscpl,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,07,4,40319,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Ryder Hall,Room: 283,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,08,4,40954,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Stearns Center,Room: 012,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,09,4,40346,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,10,4,40351,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,11,4,40380,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,12,4,40508,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,13,4,40446,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,14,4,40379,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,15,4,40852,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,16,4,41157,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,17,4,41329,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWDTechPro MultilingualWriter,Lecture,English Writing,3302,18,4,41053,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 15 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,01,4,40171,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Ryder Hall,Room: 283,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,02,4,40172,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Ryder Hall,Room: 275,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,2 of 19 seats remain.,2,NU Core/NUpath Adv Writ Dscpl,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,03,4,40238,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: Ryder Hall,Room: 271,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,04,4,40955,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: Ryder Hall,Room: 283,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,05,4,40320,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Forsyth Building,Room: 238,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,1 of 19 seats remain.,1,NU Core/NUpath Adv Writ Dscpl,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,06,4,40956,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Ryder Hall,Room: 275,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,6 of 19 seats remain.,6,NU Core/NUpath Adv Writ Dscpl,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,07,4,40347,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,08,4,40350,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,09,4,40365,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,10,4,40381,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,11,4,40509,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,12,4,41330,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWDBusAdmn MultilingualWriter,Lecture,English Writing,3304,13,4,41588,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 15 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Health Professions,Lecture,English Writing,3306,01,4,40173,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Health Professions,Lecture,English Writing,3306,02,4,40174,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Health Professions,Lecture,English Writing,3306,03,4,40777,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Health Professions,Lecture,English Writing,3306,04,4,40205,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Health Professions,Lecture,English Writing,3306,05,4,41460,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,06:00 PM - 07:40 PM,06,00,07,40,Type: Class,Building: Ryder Hall,Room: 283,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Sciences,Lecture,English Writing,3307,01,4,40239,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Forsyth Building,Room: 238,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Sciences,Lecture,English Writing,3307,02,4,40318,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: Ryder Hall,Room: 277,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Sciences,Lecture,English Writing,3307,03,4,41331,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: Ryder Hall,Room: 275,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Sciences,Lecture,English Writing,3307,04,4,40349,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Ryder Hall,Room: 220,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Sciences,Lecture,English Writing,3307,05,4,40378,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Sciences,Lecture,English Writing,3307,06,4,40526,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Sciences,Lecture,English Writing,3307,07,4,40536,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Sciences,Lecture,English Writing,3307,08,4,41583,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Kariotis Hall,Room: 204,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Social Sciences,Lecture,English Writing,3308,01,4,40425,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Social Sciences,Lecture,English Writing,3308,02,4,40872,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Social Sciences,Lecture,English Writing,3308,03,4,40957,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: Ryder Hall,Room: 270,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Writing in the Arts, Media, and Design",Lecture,English Writing,3314,01,4,40426,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core/NUpath Adv Writ Dscpl,FULL: 0 of 19 seats remain.,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
